psmiles,Energy_Hatree,es,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV
*Nc1cc(Br)c(CC(=O)O)cc1NC(=O)CC(Sc1ccc(Cl)cc1)C(*)=O,-4538.449501,0.9980994,296.97756,-8.4451,-0.0271,0.34184422,0.00094421,0.26007542,0.08271302,5.47089634,-4538.189426,-4538.106713,8.418
*Nc1ccc(NC(=O)Cc2c(F)cccc2C(*)=O)c(C(=O)O)c1Cl,-1587.499763,0.9995497,231.72451,-8.1558,-0.5999,0.2813208,0.00094421,0.21120465,0.07106037,1.463346673,-1587.288558,-1587.217498,7.5559
*Nc1cc(C(=O)O)c(NC(=O)C2CCC(C(*)=O)N2Cc2ccccc2)cc1F,-1339.280371,0.99112695,273.51645,-7.9997,0.1709,0.40438397,0.00094421,0.3276253,0.07770288,3.875758183,-1338.952746,-1338.875043,8.1706
*Nc1ccc(C(F)(F)F)c(C(=O)O)c1NC(=O)c1cccc(C(*)=O)c1NN,-1437.143836,0.79386604,239.85046,-8.8054,-0.2612,0.31156312,0.00094421,0.23583315,0.07667418,5.076625276,-1436.908003,-1436.831329,8.5442
*Nc1c(C(=O)O)cc(Cl)c(F)c1NC(=O)CC(C(*)=O)c1ccc(Br)cc1F,-4299.498793,0.9974491,261.48366,-8.5987,0.0917,0.29499304,0.00094421,0.21678285,0.0791544,5.002592687,-4299.28201,-4299.202855,8.6904
*Nc1cc(C(=O)O)cc(NC(=O)c2ccc(OC)cc2CC(*)=O)c1C#N,-1235.438691,0.99918956,265.2363,-8.7106,-0.4674,0.33237986,0.00094421,0.25692044,0.07640363,4.717415873,-1235.18177,-1235.105367,8.2432
*Nc1cc(Cl)c(C(=O)O)cc1NC(=O)CN(CC(*)=O)C(=O)CC(C)(C)C,-1661.736633,0.99929583,258.82834,-8.5562,0.1502,0.41068237,0.00094421,0.33086427,0.08076231,4.110593508,-1661.405768,-1661.325006,8.7064
*NCC(NC(=O)c1ccc(C)nc1C(*)=O)C(=O)O,-892.2303835,0.9902727,168.25878,-9.6278,-0.1321,0.25858528,0.00094421,0.19548118,0.06404832,7.604083187,-892.0349023,-891.970854,9.4957
*Nc1cc(S(=O)(=O)O)c(NC(=O)c2ccc(Cl)c(C(*)=O)c2)c(S(=O)(=O)O)c1,-2508.135929,0.9552774,266.90325,-9.1373,-0.7869,0.27957732,0.00094421,0.20264537,0.07787616,3.536922297,-2507.933284,-2507.855408,8.3504
*Nc1ccc(F)c(C(=O)O)c1NC(=O)CN(CC(*)=O)S(=O)(=O)c1c(C)cc(C)cc1C,-1889.123001,0.9980882,300.79706,-8.074,0.2413,1.3144306,0.00094421,0.35178457,0.08667294,2.617596646,-1888.771217,-1887.807627,8.3153
*Nc1cc(C(=O)O)cc(Br)c1NC(=O)CC(NC(=O)OC(C)(C)C)C(*)=O,-3811.517864,0.99832886,261.50437,-8.3693,0.1015,0.3851477699999999,0.00094421,0.30189445,0.08419754,2.38528855,-3811.21597,-3811.131772,8.4708
*Nc1cc(NC(=O)CN(CC(*)=O)C(=O)c2ccncc2)c(C(=O)O)cc1F,-1351.972422,0.9989267,246.78221,-8.6683,-0.0425,0.33756399,0.00094421,0.26171867,0.07678953,4.981657774,-1351.710704,-1351.633914,8.6258
*Nc1ccc(C(=O)O)c(Br)c1NC(=O)CNc1ncccc1C(*)=O,-3673.472497,0.9992387,245.23854,-8.5679,-0.3947,0.29506201,0.00094421,0.22426729,0.07173893,3.988313051,-3673.24823,-3673.176491,8.1732
*Nc1ccc(C(=O)O)c(C)c1NC(=O)c1ccccc1SC(C(*)=O)c1ccccc1,-1697.174424,0.99855345,314.05036,-8.2342,0.1486,0.41452684,0.00094421,0.33457356,0.0808975,4.510885411,-1696.83985,-1696.758953,8.3828
*Nc1cc(NC(=O)C(C(*)=O)C2c3ccccc3Sc3ccccc32)c(C(=O)O)cc1Cl,-2155.606464,0.9460759,324.9932,-8.0348,0.2421,0.38376098,0.00094421,0.30438957,0.08031562,2.037747296,-2155.302074,-2155.221758,8.2769
*Nc1cc(NC(=O)C(F)(F)C(*)=O)c(C(=O)O)cc1Br,-3569.542267,0.99877447,179.57676,-8.736,-0.1125,0.1879472,0.00094421,0.12396818,0.06492323,2.509476858,-3569.418298,-3569.353375,8.6235
*Nc1cc(F)cc(C(=O)O)c1NC(=O)CN(CC(*)=O)c1cccc(OC)c1,-1337.086944,0.99961025,259.13201,-7.9549,-0.1855,0.37238514,0.00094421,0.29565082,0.07767853,3.095616861,-1336.791294,-1336.713615,7.7694
*Nc1c(C(=O)O)ccc(C)c1NC(=O)CCC(Br)C(*)=O,-3488.927648,0.9985134,211.52361,-8.3625,0.0203,0.29202035,0.00094421,0.22323379,0.06973076,2.534765924,-3488.704414,-3488.634684,8.3828
*Nc1cc(Cl)cc(NC(=O)CSCc2ccccc2C(*)=O)c1CC(=O)O,-1965.042895,0.9996424,283.06685,-8.3486,-0.5889,0.35127791,0.00094421,0.275689,0.07653312,6.367903089,-1964.767206,-1964.690673,7.7597
*Nc1cc(NC(=O)CN(CC(*)=O)C(=O)C(Cl)(Cl)Cl)c(C(=O)O)nc1Cl,-2899.331898,0.99792105,250.40786,-8.7233,-0.0357,0.25422559,0.00094421,0.17705654,0.07811326,3.363204378,-2899.154841,-2899.076728,8.6876
*Nc1ccc(C(=O)O)c(NC(=O)C(CSSCC(NC(=O)C(F)(F)F)C(*)=O)NC(=O)C(F)(F)F)c1F,-2822.863513,0.7246267,306.12713,-9.1189,-0.1772,0.3759754,0.00094421,0.27616231,0.1007573,13.99655272,-2822.587351,-2822.486594,8.9417
*Nc1nc(NC(=O)C(C)(C(*)=O)c2cccc(OC)c2)c(C(=O)O)nc1Cl,-1674.176971,0.9985104,259.49023,-8.8128,0.0403,0.32790934,0.00094421,0.25111494,0.07773862,2.260227192,-1673.925856,-1673.848118,8.8531
*Nc1ccnc(NC(=O)CN(CC(*)=O)NC(=O)OC)c1C(=O)O,-1191.542195,0.9980083,204.78171,-8.5615,0.2143,0.31150412,0.00094421,0.23849431,0.07395402,4.568475291,-1191.303701,-1191.229747,8.7758
*Nc1cc(C(=O)O)cc(NC(=O)COc2ccc(OCC(*)=O)c(Cl)c2)c1C(F)F,-1915.836478,0.9995987,263.92219,-8.3295,0.1428,0.34474892,0.00094421,0.264189,0.08150414,5.263438368,-1915.572289,-1915.490785,8.4723
*Nc1cc(Br)c(C(=O)O)cc1NC(=O)CC(CC(*)=O)c1ccoc1,-3678.461493,0.9991912,241.0086,-8.586,0.1011,0.31702304,0.00094421,0.24323857,0.07472868,4.709825126,-3678.218255,-3678.143526,8.6871
*Nc1cc(C(=O)O)cc(NC(=O)C(CCCCCCCCCC)C(*)=O)c1CC,-1269.246937,0.97917557,287.04381,-8.2906,0.2217,0.5693913500000001,0.00094421,0.48156411,0.08877145,4.618841149,-1268.765373,-1268.676602,8.5123
*Nc1cc(Cl)cc(NC(=O)CCC(NC(=O)CC(=O)OCC)C(*)=O)c1C(=O)O,-1811.057563,0.99424744,272.29643,-8.2158,0.1067,0.39958118,0.00094421,0.31500053,0.08552487,8.619630625,-1810.742563,-1810.657038,8.3225
*Nc1ccc(CC(NC(=O)CN(CC(*)=O)N=Cc2ccc(OC)cc2)C(=O)O)cc1,-1409.842455,0.9979771,296.41455,-8.0465,0.2635,0.46288797,0.00094421,0.37887348,0.08495869,1.178849132,-1409.463581,-1409.378623,8.31
*NOCC(NC(=O)CC(NS(=O)(=O)c1ccc(NC(C)=O)cc1)C(*)=O)C(=O)O,-1802.717362,0.8383161,260.89611,-9.1645,-0.0602,0.39755215,0.00094421,0.30932086,0.0891755,7.710890397,-1802.408041,-1802.318865,9.1043
*Nc1cc(F)c(NC(=O)CC(CSC(C)=O)C(*)=O)c(C(=O)O)c1,-1526.312129,0.9938788,224.61228,-8.2418,0.3,0.30700074,0.00094421,0.23242557,0.07551938,3.028136681,-1526.079703,-1526.004184,8.5418
*Nc1cc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)=O)c(C(=O)O)cc1Cl,-2169.24598,0.8609109,209.95116,-8.7374,-0.0384,0.69873272,0.00094421,0.15279085,0.08039266,1.707550253,-2169.093189,-2168.546303,8.699
