smiles_list,density,Rg,Scaled Rg,Cp,Cv,bulk_modulus,isentropic_bulk_modulus,r2,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index
*N=P(*)(Oc1ccc2ccccc2c1)OC(Cl)C(F)(F)F,1.442883659,16.33510418,0.060475363,2127.118345,2032.541824,1452303556,1519774675,14.59209476,1.228644977,2.727557684,0.041704667,1.58079496
*N=P(*)(Oc1ccc(C)c(C)c1)OC(Cl)C(F)(F)F,1.375408793,16.47994854,0.063654615,2193.670629,2121.181218,2369883332,2450865342,20.28550159,1.242540871,2.50376265,0.083966362,1.50373594
*N=P(*)(OCCCCCCCC)Oc1cccc(-c2ccccc2)c1,1.095568285,12.99042719,0.064622177,3122.838171,3022.120052,3323043520,3433735247,9.619711244,1.191577646,2.692494536,0.093523488,1.58142875
*N=P(*)(Oc1ccc(Cl)cc1Cl)OC(Cl)C(F)(F)F,1.607286189,18.55905726,0.057132591,1643.349336,1589.40489,2166719134,2240279653,18.57262784,1.134957666,2.47526443,0.058475418,1.52980612
*N=P(*)(Oc1ccccc1)Oc1ccc(-c2ccccc2)cc1,1.239153337,15.30606797,0.066547466,2723.734337,2663.806827,2689640985,2748424320,14.2035027,1.146104498,3.005734051,0.056275975,1.691043924
*CC(C)Oc1ccc(C(=O)NCCCCNC(=O)c2ccc(O*)c(CC)c2)cc1,1.12546996,22.43572996,0.112868712,3207.874835,3142.816384,4793217444,4892433325,23.10145681,1.422052621,2.789369835,0.067864272,1.538608857
*OCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCCNC(=O)c1ccc(*)o1,1.091196429,19.41357568,0.10231718,3414.468069,3312.789617,4047472958,4171725968,19.46486214,9.042473061,10.28755786,0.050591754,1.498360702
*CC(C)Oc1ccc(C(=O)NCCCCNC(=O)c2ccc(O*)c(Cl)c2)cc1,1.205180618,17.27396187,0.080540448,3087.557886,2920.463778,3412197300,3607004931,16.41365759,1.499619436,2.895696814,0.052091322,1.5479268
*CC(C)Oc1ccc(C(=O)NCCCCNC(=O)c2ccc(O*)cc2)c(OC)c1,1.166422629,23.92515326,0.115976726,3010.374438,2935.473614,4498910596,4613656043,30.08606475,1.477175331,2.838199384,0.06125845,1.536562414
*CCCCOc1ccc(C(=O)NCCCCNC(=O)c2ccc(OC(C)C*)cc2)cc1,1.100097141,18.57077185,0.092994057,3287.725166,3240.254493,4432568539,4498607331,20.33095941,11.97768192,13.3269602,0.057294505,1.532735557
*CC(C)Oc1ccc(C(=O)NCCCCNC(=O)c2ccc(O*)c(OC)c2)cc1,1.146392346,14.60387655,0.070792014,3276.27141,3177.931504,3861218054,3980908486,11.12981438,1.462110298,2.788049774,0.053298534,1.525103104
*CCCNC(=O)c1ccc(CC(C#N)(Cc2ccc(*)cc2)c2ccccc2)cc1,1.078650204,22.21369485,0.107171769,3194.751694,3172.550498,3852676165,3879655481,41.77913141,1.307467207,2.819041859,0.044540955,1.58479483
*CC(C)Oc1ccc(C(=O)NCCCCNC(=O)c2ccc(O*)cc2)c(Cl)c1,1.208000229,19.37722335,0.090346978,2771.26423,2729.10867,3663030257,3719471893,12.48304176,1.472254109,2.865544338,0.052519064,1.547026254
*CCCCCC(=O)NCCCCCCNC(=O)COc1ccc(Cc2ccc(O*)cc2)cc1,1.085199144,21.16406158,0.110474657,3318.441416,3239.439214,4345538372,4451094938,22.05458687,7.25395131,8.543180426,0.099403207,1.513019866
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCOc2ccc(O*)cc2)cc1,1.091014725,20.66698716,0.10787997,3384.187764,3273.508137,3835127933,3964791789,26.82841246,7.335005334,8.641679243,0.074519328,1.518773818
*CCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCCCCC(=O)NCCCOCCO*,1.027644704,20.51639289,0.111086942,3689.805821,3596.663991,4025837195,4130125274,27.98264967,19.40557153,20.54947932,0.076028757,1.464208932
*CCNC(=O)CCCCC(O)CCCCC(=O)NCCCCCCNC(=O)C1CCC(*)O1,1.066430146,19.01880217,0.103627305,3537.934054,3433.350942,5000421689,5153156663,20.38410005,3.854361375,5.023035601,0.084794007,1.472641921
*CCCNC(=O)CCCCOC1CCC(OCCCNC(=O)COc2ccc(O*)cc2)CC1,1.109744727,21.11455499,0.108788243,3360.218622,3306.702952,4674763890,4750446822,30.89392939,5.267104536,6.506021249,0.077407836,1.49630101
*CCCNC(=O)CCCCCCCCC(=O)NCCCOCCCCC(=O)Nc1ccc(*)cc1,1.062594885,22.41384513,0.119015087,3562.137701,3472.447249,4742563875,4864881708,34.13645682,5.74852528,6.991508651,0.066313081,1.497659297
